Subject_ID,Skill_Hand,Skill_Computed,Sgm_ID,Dem,GQ_X,GQ_Y,GQ_Z,GQ_RX,GQ_RY,GQ_RZ,avg_F_X,avg_F_Y,avg_F_Z,avg_T_X,avg_T_Y,avg_T_Z,max_F_X,max_F_Y,max_F_Z,max_T_X,max_T_Y,max_T_Z,Pressure_Thumb,Pressure_Index,Pressure_Middle,Pressure_Ring,Pressure_Pinky,Pressure_Palm,max_subsegments,subsegm_X,subsegm_Y,subsegm_Z,avg_VR_Skill,avg_VR_TaskPace,avg_VR_pbCoord,avg_VR_pbGrasp,avg_VR_pbMove,avg_VR_EstimatedFT
9,0,0,2,1,0.44725,2.3108,0.10639,0.21526,0.14009,0.18866,6.3311,4.9791,-5.3627,0.58988,-0.81015,-0.089898,23.421,19.548,1.1485,2.3137,0.069417,0.0052779,1.0833,70.667,93.5,38.333,22.083,28.044,19,19,14,19,4,2,0,0,0,2
9,0,0,2,2,0.57148,1.4471,0.03142,0.018752,0.01829,0.071084,0.70515,2.6656,-1.7595,0.25179,-0.11273,-0.062824,28.017,18.273,8.4498,2.2331,1.7895,0.034423,0,61.417,77.333,7.25,2.9167,13.533,19,19,14,19,2,1,1,1,1,2
9,0,0,2,3,0.20887,0.89316,0.05134,0.011615,0.027407,0.11652,1.9484,-0.75065,0.75131,0.046776,-0.14585,-0.020015,10.998,9.824,14.15,1.5487,0.39009,0.058509,6,21.813,141.08,24.083,1.6667,24.022,19,19,14,19,2,1,1,1,0,1
9,0,0,2,4,1.4575,0.055525,0.069011,0.0082612,0.0047651,0.0024903,5.972,3.4236,-2.3918,0.31945,-0.66501,-0.073119,21.648,9.9738,2.6842,1.1182,0.062274,0.0074374,3.0833,55,117.42,15.583,4.5,14.778,19,19,14,19,3,2,0,0,0,2
9,0,0,2,5,0.58723,0.038489,0.037984,0.078287,0.036956,0.036643,5.1373,3.3287,-5.6452,0.38983,-0.61157,-0.045129,24.036,12.425,0.83213,1.6791,0.051892,0.0067441,4.25,44.917,96.583,6.4167,2.0833,10.978,19,19,14,19,4,2,0,0,0,2
9,0,0,2,6,0.42051,0.7308,0.088229,0.14161,0.15439,0.12375,4.0471,1.415,-3.1217,0.25141,-0.47614,-0.018316,18.953,8.8775,1.3953,1.2466,0.028832,0.007081,0,12.5,7.1667,2.4167,2.3333,3.4222,19,19,14,19,3,2,0,0,0,2
9,0,0,2,7,1.9557,0.32393,0.1634,0.18663,0.28456,0.15023,2.9884,1.4827,-0.30636,0.19639,-0.3389,-0.040554,17.978,8.5596,10.254,1.0291,0.063155,0.012163,0.66667,44.5,89.417,11.25,1.5625,27.933,19,19,14,19,2,2,0,1,1,2
9,0,0,2,8,2.55,0.12271,0.043482,0.023531,0.010532,0.010506,-1.9732,3.2064,-2.0679,0.38231,0.19653,-0.051474,0.17936,16.237,1.4916,1.9003,1.0293,0.0037701,0,45.667,90.417,10,2.25,15.267,19,19,14,19,3,2,0,0,0,2
9,0,0,2,9,1.3022,3.1431,0.029324,0.0059123,0.0058347,0.0096712,-2.986,1.6842,-2.2384,0.25453,0.29019,-0.019238,0.095444,12.647,1.1121,1.4885,1.3312,0.0058465,0,15.583,40.333,5.3333,2.3333,9.6889,19,19,14,19,3,3,0,0,0,2
9,0,0,2,10,1.2333,0.45252,0.054156,0.026362,0.025291,0.021588,-3.7052,4.4311,-5.1979,0.58861,0.37091,-0.024519,0.029444,19.489,0.31897,2.4065,1.5353,0.0020124,0.25,14.25,53.5,9.4167,2,12.622,19,19,14,19,4,2,0,0,0,2
9,0,0,2,11,0.79021,0.19838,0.1612,0.10767,0.037745,0.043299,-3.6501,3.5659,-5.0126,0.43308,0.34691,-0.058231,0.05487,18.098,2.2263,2.106,1.461,0.0065244,0,23.333,32.417,6,3.4167,13.022,19,19,14,19,4,2,0,0,0,2
9,0,0,2,12,2.3259,0.38536,0.251,0.16062,0.020707,0.021207,-5.9061,2.3781,-2.6344,0.28999,0.63545,-0.033909,0.15469,13.123,0.60362,1.5617,2.4521,0.0083964,0,51.917,53.417,13.333,9.0833,13.244,19,19,14,19,3,2,0,0,0,2
9,0,0,2,13,0.56904,0.10233,0.084306,0.47944,0.4659,0.61125,-4.2306,2.0748,-1.3459,0.1954,0.40917,-0.047494,0.12932,13.414,4.3346,1.6908,1.7123,0.02029,0,5.6875,27.75,2.9167,12.25,5.0444,19,19,14,19,2,2,0,1,0,2
9,0,0,2,14,0.99686,1.6105,0.064967,0.22341,0.2428,0.066566,1.2738,-1.1672,-1.6222,-0.25681,-0.17414,-0.0032588,9.4162,2.4036,0.083642,0.11046,0.014956,0.063062,0.25,70.5,51.833,34.583,20.5,6.9333,19,19,14,19,2,2,0,0,0,1
9,0,0,2,15,0.23401,0.069526,0.12512,0.054838,0.036044,0.037858,1.3371,-4.4995,-3.4582,-0.50197,-0.1917,-0.02219,6.6874,0.67462,0.43976,0.031094,0.040844,0.0027491,0.66667,45.333,111.83,17.333,13.75,18.911,19,19,14,19,3,2,0,0,0,2
9,0,0,2,16,0.5131,0.06385,0.076937,0.022052,0.011436,0.012117,1.7236,-3.0481,-0.75634,-0.36312,-0.19694,-0.00075675,8.3958,0.45992,1.074,0.035993,0.032169,0.058441,0.91667,32.313,101.5,8,8.6667,14.578,19,19,14,19,3,2,0,0,0,2
9,0,0,2,17,1.7394,0.54076,0.21078,0.27302,0.060734,0.084294,2.0028,-5.8938,0.84644,-0.70349,-0.21492,-0.056338,5.7053,1.388,4.1939,0.063112,0.0034419,0.0046659,0,23.75,31.333,26.5,21.167,8.5333,19,19,14,19,2,2,0,0,0,1
9,0,0,2,18,0.25296,0.19982,0.15207,0.51007,0.10792,0.18764,1.5301,-1.4323,-0.82441,-0.1829,-0.17733,-0.01127,9.9254,1.5421,0.21953,0.065988,0.0025272,0.010881,4.8333,63,119,18.417,4.4167,31.422,19,19,14,19,3,2,0,0,0,1
9,0,0,2,19,0.40018,1.3285,0.042258,0.30998,0.19063,0.41072,3.0206,-3.3445,-1.1387,-0.38487,-0.37288,0.0073256,16.497,0.43335,3.2029,0.02108,0.020818,0.084099,4.4167,57.167,114,6.6667,5,26.511,19,19,14,19,3,2,0,1,0,1
10,1,0,2,1,2.2071,0.083717,0.11133,0.0010134,0.0066047,0.0020027,4.0774,4.234,-2.6666,0.45864,-0.55473,-0.035809,27.506,22.827,0.73369,2.7291,0.051194,0.005714,0,147.25,92.417,19.583,9.75,9.6889,5,5,5,1,4,2,0,0,0,2
10,1,0,2,2,1.2496,2.9834,0.14326,0.016622,0.017142,0.019502,3.8819,5.7821,-6.7354,0.71278,-0.57935,-0.044281,23.085,30.374,0.2587,3.535,0.066836,0.0024989,0,90.333,72.083,18.167,18,16.044,5,5,5,1,4,2,0,0,0,2
10,1,0,2,3,1.5996,1.9224,0.13363,0.015815,0.016619,0.34012,7.9148,6.4593,2.1518,0.67298,-0.86225,-0.078111,44.439,36.065,57.58,3.5647,0.042827,0.0058783,0,77.5,39.917,10.667,13.833,11.594,5,5,5,1,3,2,0,1,0,2
10,1,0,2,4,0.6218,1.196,1.301,0.018462,0.020292,0.017484,1.9532,8.7026,0.36252,0.99311,-0.1543,-0.094815,13.817,54.058,33.395,5.37,0.12925,0.0012191,0,112.5,44.583,19.083,17.917,16.956,5,5,5,1,3,2,0,0,1,2
10,1,0,2,5,1.908,0.10038,0.11116,0.14889,0.22338,0.15359,3.7916,6.4553,-6.7811,0.65077,-0.46313,-0.063425,28.648,35.199,0.13454,3.8858,0.032946,0.0053946,0.625,167.33,58.667,24.833,19.583,20.222,5,5,5,1,5,2,0,0,0,2
10,1,0,2,6,0.29263,0.11786,2.7605,0.014353,0.4104,0.013631,2.6835,6.562,-6.1686,0.67344,-0.41471,-0.069152,22.795,27.466,15.307,3.3497,0.02996,0.0017187,0,107.25,63.333,15.083,15.75,13.089,5,5,5,1,4,2,0,0,0,2
10,1,0,2,7,2.8485,0.23552,0.13652,0.16786,0.32308,0.076887,1.9542,3.7616,-6.5947,0.50706,-0.32458,-0.022937,18.768,25.098,5.2574,3.2161,0.068836,0.02335,0,127.92,52.583,15.667,20,19.733,5,5,5,1,5,2,0,0,0,2
10,1,0,2,8,1.0267,1.3384,0.10923,0.0016186,0.0016404,0.0014528,2.2807,4.1926,-5.4749,0.56888,-0.25223,-0.027188,18.063,27.099,0.4455,3.4616,0.014232,0.0094804,0,102.67,41.667,27.833,11.167,12.289,5,5,5,1,4,2,0,0,0,2
10,1,0,2,9,0.55824,2.7356,0.13684,0.00062997,0.00062458,0.00095837,3.3096,5.2982,-3.5477,0.64479,-0.43128,-0.021251,14.508,36.482,10.246,4.3286,0.035892,0.14626,0,153.33,36.833,47.75,12.583,33.089,5,5,5,1,4,2,0,0,0,2
10,1,0,2,10,1.7777,0.93925,0.31895,0.01308,0.014704,0.007866,4.3415,6.3714,-7.7444,0.73241,-0.60768,-0.0594,24.451,29.761,0.099887,3.661,0.031567,0.0041501,0,111.33,116,53,15.333,29.644,5,5,5,1,4,2,0,0,0,2
10,1,0,2,11,0.92963,1.8607,0.185,0.024544,0.024704,0.013092,2.2053,4.4905,-5.636,0.62854,-0.26918,-0.029128,13.917,28.975,0.089828,3.6688,0.063277,0.003767,0.1875,132.42,142,26.833,16.917,14.489,5,5,5,1,4,2,0,0,0,2
10,1,0,2,12,1.1527,1.1638,0.74365,0.0052229,0.0052925,0.005391,2.9765,4.0469,-5.301,0.66442,-0.5112,-0.054086,19.794,24.023,0.087777,3.2111,0.048603,0.0020812,0,80.25,121.42,25.167,15.833,24.044,5,5,5,1,4,2,0,0,0,2
10,1,0,2,13,0.45481,3.1227,0.49139,0.013088,0.013253,0.014147,3.8989,7.2103,-9.7557,0.87934,-0.70105,-0.0068016,15.974,30.475,8.1478,3.7845,0.39029,0.16584,0,111.67,62.75,13.417,17.417,22.2,5,5,5,1,4,2,0,0,0,2
10,1,0,2,14,1.0855,0.72539,0.7631,0.13094,0.16738,0.14401,4.0402,6.7877,-7.3552,0.80105,-0.61526,-0.063094,23.414,30.96,0.23748,3.7552,0.13827,0.018883,0,116.92,60.917,14.5,15.583,21.489,5,5,5,1,4,2,0,0,0,2
10,1,0,2,15,1.9778,0.29909,0.65398,0.023957,0.18109,0.027903,5.3178,7.4831,-1.9838,0.80696,-0.67771,-0.089315,25.001,34.159,3.6063,3.8151,0.067735,0.0089402,0,87.75,56,11.167,18.667,18.2,5,5,5,1,3,2,0,0,0,2
11,0,0,2,1,0.86732,3.246,0.046601,0.00739,0.0073342,0.058965,0.14135,6.6068,-4.5832,0.51461,-0.024649,-0.022264,5.0086,30.196,0.77536,3.5382,0.69937,0.0050125,0,87,45.417,18.5,13.833,9.0444,7,7,7,2,3,2,0,0,0,2
11,0,0,2,2,0.99728,0.005402,0.32463,0.6954,0.50918,0.26746,-3.5898,-0.23617,2.4918,-0.15509,0.53926,0.026998,5.4294,17.754,7.8098,2.0925,1.314,0.048999,0.25,93.167,79.833,12.167,11.583,4.3111,7,7,7,2,4,2,0,0,0,2
11,0,0,2,3,0.1182,1.5286,0.013612,1.0016,0.38516,0.22187,0.082251,4.6505,-6.5502,0.4723,-0.071233,-0.018554,9.1579,29.975,0.47085,3.6017,0.37243,0.0083078,0,88.917,68.333,14.25,16.083,4.0444,7,7,7,2,4,2,0,0,0,2
11,0,0,2,4,1.1999,0.70177,1.2705,0.14966,0.17091,0.28166,-0.50467,3.378,-3.6605,0.49849,0.023199,-0.016242,5.625,18.554,0.6276,2.1381,0.48047,0.0069065,0,74.583,53,12.167,12.417,2.3111,7,7,7,2,3,2,1,0,0,2
11,0,0,2,5,0.89388,2.4999,0.50726,0.35699,0.3141,0.2785,0.59244,3.1932,-5.5659,0.39142,-0.091721,-0.020994,9.0307,22.466,0.38981,2.6894,0.07503,0.0066586,0,73.5,51,13.583,13.583,4.5778,7,7,7,2,4,2,0,0,1,2
11,0,0,2,6,1.0809,1.4583,0.0067166,0.65512,0.42623,0.57145,-3.6121,-2.1247,-0.85451,-0.44712,0.47332,0.018254,6.9457,16.832,7.5716,1.8672,0.95931,0.089297,0.25,89.667,54.333,22.083,13.75,3.6444,7,7,7,2,2,1,0,0,1,2
11,0,0,2,7,0.40809,1.8134,0.0062116,0.83549,0.37201,0.48917,0.78896,2.6271,-4.8183,0.33379,-0.08853,0.011569,5.548,10.837,0.38954,1.2743,0.14787,0.066409,0,105.58,76.417,20.333,16.417,5.9111,7,7,7,2,2,2,1,0,1,1
11,0,0,2,8,0.53639,1.8102,0.61397,0.95618,0.68336,0.43557,2.4719,4.4335,-4.4689,0.44872,-0.28142,-0.030487,10.933,16.673,0.54354,1.9553,0.033069,0.0069731,0.1875,82.667,52.917,12.167,10.417,5.4,7,7,7,2,3,2,0,0,0,2
11,0,0,2,9,0.72333,0.62537,0.60879,0.53789,0.80953,0.33333,0.90826,4.2179,-4.4818,0.37689,-0.15388,-0.021098,9.0977,15.65,0.51915,1.8051,0.082094,0.0063777,0.25,67.917,25.917,6.75,5.75,0.6,7,7,7,2,3,2,0,0,0,2
11,0,0,2,10,0.043461,1.6903,0.076506,0.79209,0.38007,0.24642,2.611,3.0923,-6.1683,0.41853,-0.34663,-0.019266,15.061,13.627,0.48014,1.6565,0.053105,0.016006,0,117.25,76,8.25,8.8333,7.0889,7,7,7,2,4,2,0,0,0,2
11,0,0,2,11,0.15628,1.8888,0.11564,0.29261,0.38457,0.2803,1.4354,3.67,-3.4843,0.32895,-0.24786,-0.006937,17.657,26.053,0.38417,2.9035,0.087993,0.019983,0,66.583,20.417,15.5,17.083,7.4222,7,7,7,2,3,2,0,0,0,2
11,0,0,2,12,2.6804,1.6536,0.090786,0.24758,0.23355,0.24285,3.7078,4.4582,-4.1586,0.61317,-0.44548,-0.040173,15.552,24.025,2.8857,2.7249,0.045451,0.017133,0.25,45,32.833,12.833,12.083,1.6222,7,7,7,2,2,1,1,0,1,2
11,0,0,2,13,2.2313,0.9676,1.007,0.21124,0.30785,0.21786,3.2619,6.8953,-3.019,0.67433,-0.55215,-0.093327,21.248,26.231,5.987,3.0108,0.040448,0.018366,0.25,97,78.083,20.25,17.917,13.422,7,7,7,2,4,2,0,0,0,2
11,0,0,2,14,1.8288,1.3397,0.29398,0.027052,0.029096,0.02557,5.0961,2.8911,0.63518,0.2208,-0.7671,-0.083092,20.58,14.437,17.095,1.7834,0.038726,0.10092,0.25,109.92,61.917,18.833,12.667,5.6889,7,7,7,2,4,2,0,0,0,2
11,0,0,2,15,0.63675,2.444,0.15895,0.0053553,0.0051585,0.001829,2.2378,3.517,-3.759,0.38087,-0.29051,-0.012913,14.392,16.631,0.88375,2.1604,0.057568,0.010303,0,104.42,71.167,14.667,14.583,7.6222,7,7,7,2,3,2,0,0,0,2
11,0,0,2,16,1.1361,1.466,0.019892,0.20424,0.21374,0.02607,2.6819,4.415,-3.3814,0.54186,-0.36283,-0.041452,13.85,18.428,4.2328,2.3082,0.05259,0.014546,0,74.25,33,9.9167,11,1.8222,7,7,7,2,5,2,0,0,0,2
11,0,0,2,17,1.4428,1.155,0.0053396,0.20124,0.19661,0.10982,1.3715,4.5056,-5.3835,0.56507,-0.25082,-0.016939,13.194,28.028,0.44492,3.4714,0.096245,0.019406,0,63.917,43.583,8.75,10,1.9111,7,7,7,2,3,2,0,0,0,2
11,0,0,2,18,0.75189,1.0594,0.017669,0.34358,0.28167,0.11965,1.4522,5.3375,-4.1574,0.48652,-0.15999,-0.0013891,9.4715,24.133,0.388,2.9303,0.20841,0.048639,0.25,78.667,60.417,12.833,12.167,4.6222,7,7,7,2,4,2,0,0,0,2
11,0,0,2,19,0.06623,0.7479,0.093295,0.0067867,0.013511,0.0063937,0.90308,2.216,-3.1473,0.33317,-0.20755,-0.025867,12.885,15.238,2.7974,1.8082,0.10197,0.0082249,0,59.75,44.25,12.583,12.667,3.6222,7,7,7,2,3,1,0,0,1,2
13,1,1,2,1,1.9908,0.74825,0.15169,0.0011666,0.0011784,0.0012954,1.4296,5.7869,-5.3947,0.65777,-0.29839,-0.016179,13.247,21.881,1.1481,2.6595,0.33576,0.069826,0.5,52.75,80.417,19.167,9.3333,28.689,1,1,1,1,4,2,0,0,0,2
13,1,1,2,2,0.61345,3.5928,0.38933,0.21173,0.16941,0.21076,2.4208,6.4242,-4.5088,0.82167,-0.3877,-0.068667,17.597,27.726,0.5611,3.3713,0.37739,0.0026183,0.25,89.417,70.333,30.25,17.417,28.422,1,1,1,1,4,2,0,0,0,2
13,1,1,2,3,0.75007,1.3207,0.32814,0.010083,0.010312,0.010979,6.3881,4.8348,-3.4549,0.54783,-0.75298,-0.086924,32.5,25.677,0.63125,3.1158,0.043479,0.001856,0,113.67,24.583,32.583,10.25,28.711,1,1,1,1,4,2,0,0,0,2
13,1,1,2,4,2.2227,0.5334,1.2178,0.0026404,0.0026349,0.0026062,3.4114,5.83,-3.3733,0.65677,-0.34631,-0.078999,17.455,27.369,0.82458,3.1221,0.070993,0.0044445,0,70.583,34.833,27.5,15.583,20.911,1,1,1,1,4,2,0,0,0,2
13,1,1,2,5,2.5204,1.7125,0.2638,0.0060445,0.0060644,0.0069838,5.7037,3.0302,-1.7835,0.39707,-0.87906,-0.098435,30.258,20.777,1.931,2.465,0.055071,0.003442,0.58333,65.167,63.333,20.833,12.583,23.2,1,1,1,1,4,2,0,0,0,2
13,1,1,2,6,0.13699,0.22082,0.96412,0.013946,0.011954,0.011307,4.6882,5.8127,-3.2785,0.56466,-0.48345,-0.084364,20.925,23.311,0.83675,2.6571,0.038888,0.001983,0,114.83,18.333,23.667,11.25,25.867,1,1,1,1,4,2,0,0,0,2
13,1,1,2,7,1.6655,0.54989,0.25228,0.017327,0.024362,0.017582,4.133,6.3921,-5.2624,0.65584,-0.59807,-0.076649,24.796,28.311,0.025229,3.5479,0.10809,0.0037939,0,87.333,14.083,35.5,11.833,14.333,1,1,1,1,4,2,0,0,0,2
13,1,1,2,8,0.72032,0.9112,0.33865,0.029718,0.13258,0.028823,2.731,5.7997,-7.4625,0.63144,-0.35313,-0.056499,26.131,32.772,0.50101,3.8883,0.12413,0.0032258,0,124.42,8.25,30.583,11.333,23.311,1,1,1,1,3,2,0,0,0,2
13,1,1,2,9,1.2049,1.1429,0.14701,0.001209,0.0012483,0.001287,10.848,3.0044,-12.345,0.38835,-1.206,-0.11997,48.663,20.481,0.54518,2.4984,0.022233,0.0016635,0,77.667,11.917,29.333,10.833,22.489,1,1,1,1,4,2,0,0,0,2
