Subject_ID,Skill_Hand,Skill_Computed,Scooped_Weight,Total_Time,Total_demos,Sgm_id,Sgm_Duration,Subsegments,RF_Passive,RF_Active,Var_Int_P_X,Var_Int_P_Y,Var_Int_P_Z,Var_Int_A_X,Var_Int_A_Y,Var_Int_A_Z,Stiff_P_X,Stiff_P_Y,Stiff_P_Z,Stiff_A_X,Stiff_A_Y,Stiff_A_Z,meanGQ_X,meanGQ_Y,meanGQ_Z,meanGQ_RX,meanGQ_RY,meanGQ_RZ,minGQ_X,minGQ_Y,minGQ_Z,minGQ_RX,minGQ_RY,minGQ_RZ,maxGQ_X,maxGQ_Y,maxGQ_Z,maxGQ_RX,maxGQ_RY,maxGQ_RZ,maxF_X,maxF_Y,maxF_Z,maxT_X,maxT_Y,maxT_Z,VR_Overall_skill,VR_Improve_over_trials,VR_Manage_Setup,Gender,Age,Easy teach,Familiar_w_tool,Self_Rating,Cooking_Frequency,difficult_aspect,Handedness,overall_impression,use_system_frequently,system_too_complex,system_easy_to_use,need_technical_support,system_well_integrated,system_inconsistency,people_would_learn_to_use_this_system_quickly,system_cumbersome,confident_w_system,neeed_prior_learning,TLX_mental_demand,TLX_physical_demand,TLX_task_pace,TLX_success,TLX_Effort,TLX_Stress
21,1,0,124,8.63,13,3,450,1,2,3,1,1,1,1,1,1,0.50049,0.59084,0.51425,0.53434,0.5127,0.54171,0.67156,0.8114,0.63315,0.017663,0.028224,0.031756,0.21746,0.41975,0.30213,0.00014864,0.00011537,0.00011753,1.8795,1.1464,0.9225,0.097028,0.17151,0.20499,10.411,26.934,1.0678,3.2216,0.26753,0.02318,3,1,1,1,30,5,3,3,2,3,1,1,3,2,4,3,4,2,4,2,4,1,5,10,5,14,5,3
22,0,0,190,10.86,13,3,480,1,2,3,1,1,1,1,1,1,0.80422,0.57666,0.71184,0.70628,0.64111,0.54127,1.9831,1.2668,0.56682,0.15964,0.24943,0.47658,0.41013,0.54736,0.26887,0.0041331,0.0047176,0.0047543,3.4284,2.0051,0.9108,0.5471,0.77411,1.4624,12.927,17.493,2.6651,2.1241,0.078571,0.014829,3,1,2,1,35,1,1,4,1,3,1,1,4,2,5,4,5,1,5,1,4,3,2,3,1,3,1,1
24,1,0,99,12.25,18,3,600,1,1,1,1,1,1,1,1,1,0.52261,0.76948,0.49957,0.65763,0.66886,0.80594,0.898,1.296,0.77477,0.34496,0.32946,0.86741,0.23749,0.17094,0.046823,0.012042,0.034386,0.014997,1.9534,2.4514,2.2682,0.93505,1.1634,2.8312,14.163,9.1607,3.1511,1.1018,0.040714,0.0075129,1,2,2,1,36,1,3,5,2,2,1,1,4,2,5,1,5,1,5,1,4,1,1,1,1,2,2,1
25,1,0,162,8.65,14,3,400,1,2,3,1,1,1,1,1,1,0.52275,0.57919,0.52851,0.77509,0.45806,0.48736,0.46465,0.64328,0.17212,0.098873,0.31201,0.19348,0.092983,0.20465,0.09157,0.0045055,0.001784,0.001677,2.5078,1.2504,0.46644,0.33938,0.84471,0.46457,23.028,11.454,1.0035,1.3504,0.060572,0.01636,2,1,2,1,26,1,2,3,1,1,1,1,3,2,4,5,2,3,4,4,3,1,3,10,1,13,8,1
27,1,1,113,8.86,12,3,480,1,2,3,1,1,1,1,1,1,0.28517,0.59804,0.60247,0.65304,0.4968,0.79685,0.63692,1.7057,0.36879,0.68004,0.77193,1.4045,0.17935,1.0521,0.15705,0.1279,0.12978,0.8496,2.0838,2.2795,0.60645,1.4675,1.8205,2.2755,19.215,10.36,1.2187,1.3199,0.064767,0.0089181,2,1,1,2,26,1,5,4,1,2,1,1,3,2,5,1,5,1,5,1,5,1,5,5,5,3,1,1
29,1,0,138,15.88,15,3,700,1,2,3,1,1,1,1,1,1,0.64762,0.64861,0.70927,0.60067,0.61995,0.59986,0.36475,0.90162,0.65896,0.14652,0.37225,0.17831,0.094171,0.39957,0.23023,0.00038168,0.0016387,0.0014834,0.75875,1.7469,1.3063,1.1425,1.0543,0.48148,19.825,9.8176,4.6215,1.1937,0.033634,0.015183,2,1,2,1,23,2,1,3,2,2,1,1,4,1,4,2,5,1,4,2,4,2,10,14,13,14,14,5
30,0,0,224,14.9,11,3,700,1,2,3,1,1,1,1,1,1,0.49683,0.49475,0.60558,0.63229,0.51025,0.57934,0.44262,1.1334,0.6775,0.23418,0.49208,0.51513,0.21864,0.24316,0.28211,0.0088703,0.01101,0.11997,0.88592,1.7038,1.6195,1.1456,0.96634,1.3828,30.303,15.623,0.61064,1.7589,0.066261,0.19055,2,2,1,1,29,4,4,3,1,2,1,1,3,2,4,1,1,1,5,4,4,1,4,15,7,17,11,8
31,1,0,200,11.45,12,3,400,1,2,3,1,1,1,1,1,1,0.62556,0.4716,0.48452,0.56141,0.50128,0.59067,1.2872,0.93248,1.0216,0.07936,0.12337,0.4002,0.16971,0.64974,0.5194,0.0013195,0.0015495,0.0001695,3.9786,1.3383,1.5703,0.4964,0.71826,0.90803,20.701,10.968,3.8727,1.3037,0.046348,0.04908,3,2,1,1,28,4,1,4,2,1,1,0,1,4,2,2,3,4,2,4,2,2,5,5,5,10,10,15
32,0,1,77,10.37,10,3,500,1,2,3,1,1,1,1,1,1,0.67504,0.55178,0.57128,0.64946,0.46731,0.6807,0.52453,0.78917,0.78499,0.038049,0.081178,0.10099,0.097699,0.2364,0.29105,0.0014202,0.0003797,0.0053928,1.0977,1.6416,1.0895,0.23247,0.51714,0.36754,14.549,7.1983,1.655,0.89858,0.14801,0.024163,3,2,1,1,26,4,5,3,1,1,1,0,2,4,1,4,4,3,2,5,2,3,1,5,1,6,4,2
33,1,0,175,8.56,15,3,450,1,2,3,1,1,1,1,1,1,0.6334,0.67055,0.58462,0.61887,0.52281,0.58388,0.71313,1.0774,0.45693,0.97944,0.59304,0.88366,0.20953,0.45637,0.27648,0.02797,0.091413,0.37215,1.1512,1.7784,0.77481,3.665,1.2707,1.3872,25.143,8.2908,3.3174,0.98815,0.070594,0.0080688,2,1,2,2,23,3,1,4,1,1,2,0,4,2,4,1,4,2,5,3,3,2,5,6,1,16,12,1
34,0,0,90,11.5,14,3,550,1,2,3,1,1,1,1,1,1,0.61183,0.65631,0.77606,0.61424,0.47069,0.4809,0.40577,0.72602,0.5404,0.40797,0.1333,1.5961,0.10646,0.14451,0.17105,0.060388,0.052111,0.34261,1.4572,1.3158,0.87246,1.1191,0.60521,3.3548,19.183,10.756,3.8445,1.1324,0.064502,0.008856,2,1,2,2,28,3,3,3,1,1,1,1,2,2,2,2,3,2,3,4,3,4,8,13,7,18,14,1
35,1,0,51,8.83,18,3,480,1,2,3,1,1,1,1,1,1,0.51936,0.53152,0.49537,0.53308,0.66237,0.33511,0.31806,1.1984,0.73099,1.2379,0.14416,1.8042,0.18093,0.50736,0.17938,0.12537,0.043998,0.60221,0.53323,1.6509,1.1804,2.3234,0.30427,2.7057,12.543,1.9418,3.2817,0.18789,0.032295,0.0028151,2,1,2,1,23,4,4,4,1,1,1,2,4,2,4,4,4,3,3,4,4,4,2,9,10,14,8,4
36,1,0,94,6.52,15,3,300,1,2,3,1,1,1,1,1,1,0.52365,0.56753,0.61869,0.63799,0.6696,0.61245,1.1706,1.434,0.40359,0.37652,0.38738,0.49844,0.19608,0.14531,0.24807,0.020356,0.024582,0.02816,2.8654,2.9578,0.75978,1.1533,0.97855,0.70516,14.256,8.5534,1.8997,0.98815,0.060649,0.027236,3,2,1,1,27,1,3,4,2,1,1,1,3,2,4,1,2,2,5,3,3,1,2,3,1,10,1,1
37,1,1,142,7.54,15,3,400,1,2,3,1,1,1,1,1,1,0.44488,0.47978,0.84839,0.53972,0.50153,0.51557,0.49416,1.3745,0.61836,1.2001,0.67521,1.3598,0.1446,0.13531,0.15738,0.17498,0.06463,0.6107,1.29,2.2014,1.2963,3.2326,2.3896,2.7765,21.808,14.717,0.89965,1.8008,0.044441,0.004141,4,1,1,1,31,3,4,3,1,1,1,1,3,2,3,5,4,1,3,4,2,3,1,2,1,15,10,1
38,1,0,82,12.19,16,3,500,1,2,1,1,1,1,1,1,1,0.53324,0.60136,0.55281,0.70119,0.6171,0.53638,0.42233,1.2169,0.23927,0.33699,1.2444,1.9382,0.11714,0.42689,0.11499,0.14571,0.27402,0.85814,1.0951,1.9263,0.49965,0.85446,3.8201,3.4785,13.13,3.7922,6.6393,0.49762,0.053109,0.010587,2,2,1,1,28,3,2,3,1,1,1,0,3,2,4,4,4,2,4,3,3,1,1,3,1,6,1,3
39,0,0,67,74.05,10,3,1400,1,2,3,1,1,1,1,1,1,0.35606,0.30848,0.50279,0.28963,0.50892,0.61989,0.13261,0.94371,0.069265,0.46868,1.3779,1.6287,0,0,0,0.25891,0.89632,0.7059,0.35773,2.0194,0.28005,0.60235,2.5417,4.4648,13.659,2.5285,5.769,0.25871,0.041874,0.0067514,2,1,2,2,28,3,3,3,2,1,1,0,2,2,4,3,4,3,5,3,2,1,5,13,3,10,5,2
40,1,0,125,10.64,20,3,-500,1,2,3,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,0.43598,1.1821,0.44174,0.57472,0.28425,2.5692,0.16012,0.48672,0.20319,0.12484,0.071824,0.85566,0.68963,1.858,0.7661,2.9758,0.907,4.2244,18.383,4.5512,4.6522,0.51098,0.050308,0.023445,2,2,2,1,25,4,5,3,1,1,1,0,4,2,4,2,3,3,4,3,5,1,1,15,5,20,10,2
41,0,0,181,9.35,15,3,300,1,2,3,1,1,1,1,1,1,0.47863,0.67827,0.71321,0.61456,0.46687,0.58986,0.29205,1.4517,0.28536,0.42732,1.3565,1.3442,0.070726,0.097355,0.078648,0.088377,0.10014,0.61566,0.78635,1.8981,0.79597,0.80203,2.8797,2.5567,28.049,14.781,5.808,1.7555,0.047781,0.020314,2,2,1,2,40,4,3,3,2,1,1,1,4,2,4,2,5,1,4,2,4,3,5,17,6,8,16,13
44,1,1,229,7.58,20,3,350,1,2,3,1,1,1,1,1,1,0.6205,0.55556,0.57579,0.54229,0.55689,0.63442,0.74283,0.68482,0.4509,0.067802,0.11168,0.47269,0.15143,0.27619,0.20283,0.0068811,0.006552,0.00182,1.3499,1.6605,0.90116,0.32147,0.76125,2.1022,24.084,4.0229,8.0721,0.35166,0.061047,0.0033405,4,2,1,2,28,2,4,5,2,1,1,2,4,1,4,1,4,1,4,1,5,1,5,10,7,3,6,1
45,1,1,189,9.45,15,3,500,1,2,3,1,1,1,1,1,1,0.51724,0.43513,0.55125,0.85244,0.48303,0.73022,0.32272,0.66519,0.50867,0.26312,0.32693,0.85239,0,0,0,1.8668e-05,8.1149e-05,0.00057596,0.71258,1.408,1.1198,1.2218,2.127,1.8003,25.203,9.9818,1.0554,1.1671,0.058591,0.004226,3,1,1,2,28,1,2,3,1,1,1,1,3,1,5,1,4,1,5,3,4,2,5,6,3,15,5,1
46,1,0,126,10.75,11,3,400,1,1,1,1,1,1,1,1,1,0.61505,0.59688,0.61538,0.75648,0.57842,0.65951,1.1002,0.59796,0.52472,0.16702,0.13983,0.94121,0.36961,0.15033,0.20429,0.0015042,0.0089118,0.0072355,2.9117,0.99796,0.82905,1.2855,0.74511,3.3092,31.719,21.231,1.5079,2.5527,0.115,0.018561,3,1,1,1,27,3,3,4,1,1,1,1,2,2,3,1,3,3,5,5,3,1,1,3,5,3,2,3
47,1,0,101,12.04,12,3,500,1,2,1,1,1,1,1,1,1,0.74586,0.7139,0.54579,0.56362,0.63833,0.5013,0.56898,0.76179,0.37267,0.11893,0.076681,0.41555,0.14972,0.25345,0.10751,0.001899,0.001845,0.0027518,1.1001,1.2887,0.70758,0.94758,0.22583,1.0461,17.17,15.716,6.2226,1.7973,0.085479,0.0083462,2,2,2,1,33,4,4,3,1,3,1,2,3,2,4,2,3,3,4,3,3,1,12,5,2,8,15,5
48,1,0,144,17.7,13,3,500,1,2,1,1,1,1,1,1,1,0.63221,0.64795,0.61353,0.71879,0.66299,0.72992,0.8184,0.35554,0.4007,0.02667,0.17583,0.040928,0.029799,0.12676,0.15547,0.00062553,0.00057942,0.00061607,1.8424,0.52473,0.59666,0.067974,0.79243,0.21689,16.336,4.5157,4.2955,0.52873,0.038784,0.0056371,3,2,1,1,30,3,4,3,2,1,1,0,3,2,3,4,4,4,3,4,4,2,5,11,10,18,5,2
49,1,0,145,10.2,13,3,-500,1,1,3,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,1.1726,0.69937,0.4211,0.19062,0.14611,0.21296,0.19292,0.061358,0.063086,0.00066966,0.00075439,0.0013554,3.5687,1.7192,1.2943,0.59656,0.5853,0.69536,19.142,14.931,1.8357,1.7656,0.088589,0.0065699,4,2,1,1,28,2,4,4,2,3,1,2,3,3,4,2,4,2,4,4,4,2,10,15,13,16,10,5
50,1,0,154,14.75,12,3,600,1,2,1,1,1,1,1,1,1,0.59134,0.61497,0.66035,0.62928,0.6629,0.68651,0.28647,0.29062,0.18806,0.43098,0.13889,0.13115,0,0,0,0.023607,0.0032773,0.0032857,0.77972,1.168,0.95103,1.1146,0.78538,0.7623,12.033,12.592,2.1343,1.4372,0.071209,0.028501,4,2,1,1,28,3,4,4,1,1,1,2,2,3,3,1,3,2,4,5,4,2,5,10,1,5,10,6
51,1,0,134,24.46,16,3,800,1,2,3,1,1,1,1,1,1,0.71619,0.67564,0.69501,0.73115,0.64816,0.69259,0.2789,0.31067,0.14817,0.55473,0.55081,0.34978,0.018917,0.018865,0.02071,0.027598,0.0046463,0.0054755,0.96061,0.97902,0.34793,1.3779,1.4865,0.98959,10.111,3.578,0.99191,0.4068,0.11134,0.0064808,3,2,1,1,31,2,4,4,1,1,1,2,4,1,4,1,4,1,4,1,4,1,5,10,3,2,4,8
52,1,1,105,8.36,15,3,500,1,2,3,1,1,1,1,1,1,0.60565,0.70086,0.53412,0.70839,0.8224,0.74365,0.8252,0.29694,0.20211,0.37844,0.5255,0.36063,0,0,0,0.062893,0.068844,0.036119,1.7007,0.64145,0.61583,1.0479,1.8474,1.06,10.416,8.3761,0.97725,0.92654,0.042589,0.0072789,3,2,1,1,23,4,4,3,2,3,1,1,3,4,2,2,3,2,4,4,4,1,5,10,1,15,2,1
