Subject_ID,Skill_Hand,Skill_Computed,Scooped_Weight,Total_Time,Total_demos,Sgm_id,Sgm_Duration,Subsegments,RF_Passive,RF_Active,Var_Int_P_X,Var_Int_P_Y,Var_Int_P_Z,Var_Int_A_X,Var_Int_A_Y,Var_Int_A_Z,Stiff_P_X,Stiff_P_Y,Stiff_P_Z,Stiff_A_X,Stiff_A_Y,Stiff_A_Z,meanGQ_X,meanGQ_Y,meanGQ_Z,meanGQ_RX,meanGQ_RY,meanGQ_RZ,minGQ_X,minGQ_Y,minGQ_Z,minGQ_RX,minGQ_RY,minGQ_RZ,maxGQ_X,maxGQ_Y,maxGQ_Z,maxGQ_RX,maxGQ_RY,maxGQ_RZ,maxF_X,maxF_Y,maxF_Z,maxT_X,maxT_Y,maxT_Z,VR_Overall_skill,VR_Improve_over_trials,VR_Manage_Setup,Gender,Age,Easy teach,Familiar_w_tool,Self_Rating,Cooking_Frequency,difficult_aspect,Handedness,overall_impression,use_system_frequently,system_too_complex,system_easy_to_use,need_technical_support,system_well_integrated,system_inconsistency,people_would_learn_to_use_this_system_quickly,system_cumbersome,confident_w_system,neeed_prior_learning,TLX_mental_demand,TLX_physical_demand,TLX_task_pace,TLX_success,TLX_Effort,TLX_Stress,NVR_Skill,NVR_Improve_over_trials,NVR_Manage_Setup,NVR_Grasp_Pb,NVR_Mov_Pb
21,1,0,124,8.63,13,2,300,1,1,1,2,3,2,2,3,2,0.44735,0.29672,0.41571,0.34857,0.58251,0.37129,0.53595,1.917,0.33792,0.22073,0.10989,0.29968,0.18108,0.88006,0.10553,0.023416,0.016562,0.023009,1.1286,3.5633,0.55354,0.91356,0.30079,1.2201,10.411,26.934,1.0678,3.2216,0.26753,0.02318,3,1,1,1,30,5,3,3,2,3,1,1,3,2,4,3,4,2,4,2,4,1,5,10,5,14,5,3,1,1,1,0,0
22,0,0,190,10.86,13,2,500,2,1,1,2,3,2,2,3,2,0.54774,0.3242,0.67627,0.4596,0.53754,0.31366,1.7588,0.38097,0.20827,0.15288,0.26728,0.30781,0.27931,0.16239,0.070515,0.027154,0.078568,0.027301,2.5853,0.76104,0.57975,0.43141,1.0415,0.64945,12.927,17.493,2.6651,2.1241,0.078571,0.014829,3,1,2,1,35,1,1,4,1,3,1,1,4,2,5,4,5,1,5,1,4,3,2,3,1,3,1,1,1,2,1.5,0,1
24,1,0,99,12.25,18,2,400,1,2,3,3,3,3,3,2,3,0.50838,0.35925,0.44752,0.53526,0.32009,0.49148,1.159,1.6495,0.42665,0.15784,0.12063,0.34908,0.31934,0.80154,0.08256,0.0076804,0.0065081,0.0066934,2.8844,3.9187,1.5229,0.84428,1.113,1.2081,14.163,9.1607,3.1511,1.1018,0.040714,0.0075129,1,2,2,1,36,1,3,5,2,2,1,1,4,2,5,1,5,1,5,1,4,1,1,1,1,2,2,1,0,2,1.5,0,1
25,1,0,162,8.65,14,2,200,1,1,1,3,2,3,3,2,2,0.4962,0.38969,0.43372,0.31698,0.20119,0.36207,1.7482,0.38597,0.46803,0.081409,0.22645,0.20516,0.10258,0.056496,0.15771,0.0016013,0.0013418,0.0012649,3.0129,1.7414,1.139,0.38874,0.88004,0.73502,23.028,11.454,1.0035,1.3504,0.060572,0.01636,2,1,2,1,26,1,2,3,1,1,1,1,3,2,4,5,2,3,4,4,3,1,3,10,1,13,8,1,1,1.5,1.5,0,0.5
27,1,1,113,8.86,12,2,300,1,1,1,3,3,2,2,3,2,0.37738,0.37537,0.5701,0.44014,0.3668,0.49954,1.2352,0.75419,0.61979,0.74403,0.5947,0.80411,0.2259,0.084468,0.11016,0.10713,0.11159,0.34016,2.1578,2.5483,1.8878,1.706,1.2828,2.0925,19.215,10.36,1.2187,1.3199,0.064767,0.0089181,2,1,1,2,26,1,5,4,1,2,1,1,3,2,5,1,5,1,5,1,5,1,5,5,5,3,1,1,1,1.5,1,0,0.5
29,1,0,138,15.88,15,2,600,1,1,1,3,3,3,2,3,3,0.581,0.46678,0.30696,0.49108,0.23498,0.3353,0.54192,0.83946,0.7081,0.43854,0.19676,0.12213,0.22434,0.18824,0.12013,0.0027642,0.0027586,0.0032977,0.95106,1.5304,1.4645,1.0812,0.85291,0.4904,19.825,9.8176,4.6215,1.1937,0.033634,0.015183,2,1,2,1,23,2,1,3,2,2,1,1,4,1,4,2,5,1,4,2,4,2,10,14,13,14,14,5,0.5,1.5,1,0,1
30,0,0,224,14.9,11,2,600,2,1,1,2,3,2,3,2,3,0.33156,0.4916,0.40567,0.43701,0.2982,0.49563,0.59173,1.2623,0.62053,0.49285,0.39274,0.30426,0.36749,0.23864,0.20965,0.073002,0.017997,0.066076,0.75825,2.0987,1.2441,1.3908,1.3731,0.53454,30.303,15.623,0.61064,1.7589,0.066261,0.19055,2,2,1,1,29,4,4,3,1,2,1,1,3,2,4,1,1,1,5,4,4,1,4,15,7,17,11,8,1,2,1,0,1
31,1,0,200,11.45,12,2,600,1,1,1,2,2,1,3,2,2,0.31981,0.40563,0.33868,0.50213,0.27465,0.29834,0.69228,1.4172,0.70932,0.47288,0.084077,0.076113,0.24395,0.37925,0.21582,0.017756,0.013451,0.012322,1.954,3.6674,1.222,1.7346,0.44029,0.33035,20.701,10.968,3.8727,1.3037,0.046348,0.04908,3,2,1,1,28,4,1,4,2,1,1,0,1,4,2,2,3,4,2,4,2,2,5,5,5,10,10,15,1,2,1,0,1
32,0,1,77,10.37,10,2,400,3,2,3,2,2,2,2,3,3,0.44165,0.43323,0.28574,0.25161,0.22426,0.36454,0.6124,0.98846,0.92121,0.12051,0.14368,0.028334,0.019734,0.34842,0.11808,3.1461e-05,6.5262e-05,3.1271e-05,1.9019,1.5929,2.0994,0.97937,1.251,0.10976,14.549,7.1983,1.655,0.89858,0.14801,0.024163,3,2,1,1,26,4,5,3,1,1,1,0,2,4,1,4,4,3,2,5,2,3,1,5,1,6,4,2,1,1.5,1,0.5,0.5
33,1,0,175,8.56,15,2,300,1,1,1,3,3,3,2,3,2,0.32162,0.34998,0.46692,0.53335,0.28859,0.32548,0.86433,1.5554,1.3642,0.50709,0.21075,0.29909,0.19004,0.15769,0.39354,0.00018195,0.00017984,0.00018041,2.317,3.0662,2.9232,2.3081,0.81213,1.3397,25.143,8.2908,3.3174,0.98815,0.070594,0.0080688,2,1,2,2,23,3,1,4,1,1,2,0,4,2,4,1,4,2,5,3,3,2,5,6,1,16,12,1,1,1,1,0,0.5
34,0,0,90,11.5,14,2,400,3,1,1,3,3,3,3,2,3,0.29981,0.41177,0.2857,0.43191,0.30739,0.31115,1.5636,0.34778,0.42546,0.12689,0.87488,0.8627,0.524,0.035297,0.099253,0.016182,0.021739,0.023923,2.8572,1.2327,0.91629,0.27776,3.2063,1.8597,19.183,10.756,3.8445,1.1324,0.064502,0.008856,2,1,2,2,28,3,3,3,1,1,1,1,2,2,2,2,3,2,3,4,3,4,8,13,7,18,14,1,0.5,1.5,1,0,1
35,1,0,51,8.83,18,2,300,1,1,1,2,3,2,3,2,2,0.49648,0.44427,0.37921,0.32182,0.4023,0.54745,0.99457,0.96936,0.83024,0.48247,0.80013,0.8343,0.21946,0.32905,0.39561,0.11957,0.13697,0.1376,2.1592,2.3937,1.2805,1.1013,2.436,1.3802,12.543,1.9418,3.2817,0.18789,0.032295,0.0028151,2,1,2,1,23,4,4,4,1,1,1,2,4,2,4,4,4,3,3,4,4,4,2,9,10,14,8,4,1,1,1,0,1
36,1,0,94,6.52,15,2,200,1,1,1,2,3,2,3,3,3,0.59673,0.41381,0.36307,0.58239,0.39929,0.32365,0.98826,1.3754,0.51737,0.12586,0.17015,0.16735,0.061743,0.29968,0.18331,0.0057129,0.0056555,0.0058287,4.4097,2.8703,0.90852,0.84366,1.9216,1.6382,14.256,8.5534,1.8997,0.98815,0.060649,0.027236,3,2,1,1,27,1,3,4,2,1,1,1,3,2,4,1,2,2,5,3,3,1,2,3,1,10,1,1,0.5,2,1.5,0,1
37,1,1,142,7.54,15,2,200,1,1,1,2,3,2,2,3,2,0.49542,0.38339,0.44991,0.50652,0.35621,0.39448,0.32639,1.2305,0.77675,0.70777,0.75329,0.756,0.096226,0.42157,0.15648,0.20279,0.073979,0.19386,1.4657,2.5157,2.2866,1.4945,1.9544,1.9602,21.808,14.717,0.89965,1.8008,0.044441,0.004141,4,1,1,1,31,3,4,3,1,1,1,1,3,2,3,5,4,1,3,4,2,3,1,2,1,15,10,1,1,2,1,0,0
38,1,0,82,12.19,16,2,400,1,1,3,3,2,2,2,3,3,0.44334,0.49596,0.38389,0.36648,0.23032,0.3903,1.1454,1.0713,0.43384,0.19808,0.12601,0.86162,0.13849,0.22547,0.21223,0.0045584,0.0052364,0.066255,3.0805,2.7082,0.65479,1.9167,0.61976,3.1759,13.13,3.7922,6.6393,0.49762,0.053109,0.010587,2,2,1,1,28,3,2,3,1,1,1,0,3,2,4,4,4,2,4,3,3,1,1,3,1,6,1,3,0.5,1.5,1.5,0.5,0
39,0,0,67,74.05,10,2,5000,3,1,1,2,2,3,2,3,3,0.59216,0.53218,0.57032,0.434,0.59094,0.37499,1.1013,0.99448,0.56527,0.33722,0.99477,1.1541,0.30406,0.11184,0.19541,0.013497,0.012821,0.01633,1.9426,1.8711,1.1776,0.77299,2.3276,2.1524,13.659,2.5285,5.769,0.25871,0.041874,0.0067514,2,1,2,2,28,3,3,3,2,1,1,0,2,2,4,3,4,3,5,3,2,1,5,13,3,10,5,2,1,1,1,0,0.5
40,1,0,125,10.64,20,2,400,1,1,1,2,3,3,2,3,2,0.45099,0.35607,0.2816,0.38769,0.42237,0.31222,0.51641,1.1901,0.51908,0.23946,0.35547,0.2873,0.18213,0.45574,0.17866,0.00070962,0.00069915,0.00077196,1.6146,2.0233,0.91647,0.79118,1.5432,1.014,18.383,4.5512,4.6522,0.51098,0.050308,0.023445,2,2,2,1,25,4,5,3,1,1,1,0,4,2,4,2,3,3,4,3,5,1,1,15,5,20,10,2,1,2,1,0,1
41,0,0,181,9.35,15,2,500,2,2,1,3,2,3,2,2,3,0.31036,0.54669,0.26977,0.36893,0.37246,0.28927,1.3766,1.2996,0.86629,0.13077,0.024125,0.27232,0.21101,0.35655,0.34076,0.0012717,0.0012897,0.0072006,3.7012,2.5798,1.1766,0.75605,0.11022,1.1715,28.049,14.781,5.808,1.7555,0.047781,0.020314,2,2,1,2,40,4,3,3,2,1,1,1,4,2,4,2,5,1,4,2,4,3,5,17,6,8,16,13,1,1.5,1,0,0.5
44,1,1,229,7.58,20,2,300,1,1,1,3,2,3,2,2,3,0.40673,0.39036,0.42267,0.33591,0.33719,0.44224,0.55283,0.6947,0.32929,0.43131,0.11019,0.28639,0.15775,0.18782,0.054819,0.015187,0.01042,0.019796,1.0066,1.5888,0.6548,1.0015,0.47795,0.77005,24.084,4.0229,8.0721,0.35166,0.061047,0.0033405,4,2,1,2,28,2,4,5,2,1,1,2,4,1,4,1,4,1,4,1,5,1,5,10,7,3,6,1,1,2,1,0.5,0
45,1,1,189,9.45,15,2,300,1,1,1,2,3,3,3,2,3,0.5341,0.41658,0.47197,0.56657,0.29596,0.43676,0.87911,0.5491,0.53949,0.014083,0.10652,0.1573,0.37927,0.052634,0.027983,0,0,0,2.0735,0.99741,1.5148,0.080702,0.63547,0.9083,25.203,9.9818,1.0554,1.1671,0.058591,0.004226,3,1,1,2,28,1,2,3,1,1,1,1,3,1,5,1,4,1,5,3,4,2,5,6,3,15,5,1,1,1,1,0.5,0
46,1,0,126,10.75,11,2,500,1,1,1,2,1,1,3,2,3,0.36219,0.59533,0.5139,0.48109,0.41628,0.53704,1.2484,0.90206,0.62521,0.29719,0.16128,0.39039,0.49579,0.32274,0.10295,0.017621,0.014915,0.025245,2.5051,1.6419,1.275,1.184,0.48102,1.3303,31.719,21.231,1.5079,2.5527,0.115,0.018561,3,1,1,1,27,3,3,4,1,1,1,1,2,2,3,1,3,3,5,5,3,1,1,3,5,3,2,3,1,1,1,0.5,0
47,1,0,101,12.04,12,2,600,1,1,1,2,2,3,2,3,3,0.40624,0.23016,0.25176,0.23837,0.37471,0.42791,1.0544,0.67579,0.34914,0.074542,0.11182,0.27914,0.53198,0.058637,0.09856,0.0019247,0.0018476,0.0071152,2.1552,1.7345,0.80316,0.18637,0.67084,0.87575,17.17,15.716,6.2226,1.7973,0.085479,0.0083462,2,2,2,1,33,4,4,3,1,3,1,2,3,2,4,2,3,3,4,3,3,1,12,5,2,8,15,5,0.5,2,1.5,0.5,0.5
48,1,0,144,17.7,13,2,600,1,1,1,3,3,3,2,3,2,0.31453,0.26042,0.52858,0.30343,0.40674,0.4353,1.2795,0.38764,0.75662,0.55724,0.18688,0.5054,0.16131,0.15342,0.16497,0.16085,0.079407,0.12576,2.1717,0.65751,1.9684,1.3105,0.49014,2.0594,16.336,4.5157,4.2955,0.52873,0.038784,0.0056371,3,2,1,1,30,3,4,3,2,1,1,0,3,2,3,4,4,4,3,4,4,2,5,11,10,18,5,2,1,1.5,1,0,0
49,1,0,145,10.2,13,2,400,1,1,1,3,3,3,3,2,3,0.4114,0.32076,0.43749,0.36054,0.32517,0.43684,0.28841,0.65035,0.1199,0.14654,0.30506,0.30332,0.073092,0.17136,0.031819,0.029728,0.073673,0.058964,0.75076,1.3366,0.63135,0.28552,1.4586,0.92832,19.142,14.931,1.8357,1.7656,0.088589,0.0065699,4,2,1,1,28,2,4,4,2,3,1,2,3,3,4,2,4,2,4,4,4,2,10,15,13,16,10,5,1,2,1,0,0
50,1,0,154,14.75,12,2,600,1,1,1,3,3,3,2,3,3,0.3786,0.55676,0.52621,0.38294,0.37422,0.31833,0.070174,1.1396,0.078463,0.29271,0.31257,0.25944,0,0,0,0.010002,0.020029,0.0090913,0.59503,2.9231,0.50088,1.6172,0.99244,1.6253,12.033,12.592,2.1343,1.4372,0.071209,0.028501,4,2,1,1,28,3,4,4,1,1,1,2,2,3,3,1,3,2,4,5,4,2,5,10,1,5,10,6,1,2,1,0,0
51,1,0,134,24.46,16,2,1000,1,1,1,3,3,3,2,3,2,0.37137,0.41622,0.33447,0.38139,0.32254,0.28362,0.10538,0.064252,0.55208,0.084257,0.16061,0.30123,0,0,0,0,0,0,0.30271,0.17881,2.1784,0.37477,0.43693,0.74313,10.111,3.578,0.99191,0.4068,0.11134,0.0064808,3,2,1,1,31,2,4,4,1,1,1,2,4,1,4,1,4,1,4,1,4,1,5,10,3,2,4,8,1,1,1,0,0
52,1,1,105,8.36,15,2,200,1,1,1,2,3,3,3,2,2,0.44343,0.50602,0.44427,0.55818,0.40503,0.47431,0.43614,0.45926,0.030387,0.2889,0.59419,0.3341,0,0,0,1.5828e-45,0.013373,1.7987e-46,1.0665,2.3921,0.1631,0.52065,1.8779,0.87816,10.416,8.3761,0.97725,0.92654,0.042589,0.0072789,3,2,1,1,23,4,4,3,2,3,1,1,3,4,2,2,3,2,4,4,4,1,5,10,1,15,2,1,1,1.5,1,0,0.5
