Subject_ID,Gender,Age,Easy_ teach,Familiar_w_tool,Self_Rating,Cooking Frequency,difficult_aspect,Handedness,overall_impression,use_system_frequently,system_too_complex,system_easy_to_use,need_technical_support,system_well_integrated,system_inconsistency,people_would_learn_to_use_this_system_quickly,system_cumbersome,confident_w_system,neeed_prior_learning,mental_demand,physical_demand,task_pace,successful_in_accomplishing_the_task,work_hard_for_your_level_of_performance,insecure_discouraged_irritated_stressed_annoyed
27,Female,26,1,5,4,Daily,glove,Right,a good tool ,3 - Neutral,2 - Disagree,5 - Strongly agree,1 - Strongly disagree,5 - Strongly agree,1 - Strongly disagree,5 - Strongly agree,1 - Strongly disagree,5 - Strongly agree,1 - Strongly disagree,5,5,5,3,1,1
29,Male,23,2,1,3,Weekly,glove,Right,The experiment is interesting.,4 - Agree,1 - Strongly disagree,4 - Agree,2 - Disagree,5 - Strongly agree,1 - Strongly disagree,4 - Agree,2 - Disagree,4 - Agree,2 - Disagree,10,14,13,14,14,5
30,Male,29,4,4,3,Daily,glove,Right,,3 - Neutral,2 - Disagree,4 - Agree,1 - Strongly disagree,1 - Strongly disagree,1 - Strongly disagree,5 - Strongly agree,4 - Agree,4 - Agree,1 - Strongly disagree,4,15,7,17,11,8
31,Male,28,4,1,4,Weekly,robot_arm,Right,,1 - Strongly disagree,4 - Agree,2 - Disagree,2 - Disagree,3 - Neutral,4 - Agree,2 - Disagree,4 - Agree,2 - Disagree,2 - Disagree,5,5,5,10,10,15
32,Male,26,4,5,3,Daily,robot_arm,Right,Good,2 - Disagree,4 - Agree,1 - Strongly disagree,4 - Agree,4 - Agree,3 - Neutral,2 - Disagree,5 - Strongly agree,2 - Disagree,3 - Neutral,1,5,1,6,4,2
33,Female,23,3,1,4,Daily,robot_arm,Left,it was difficult to manipulate the robotic arm holding the bowl. I think it could be because my hand was a little small to be able to reach around,4 - Agree,2 - Disagree,4 - Agree,1 - Strongly disagree,4 - Agree,2 - Disagree,5 - Strongly agree,3 - Neutral,3 - Neutral,2 - Disagree,5,6,1,16,12,1
34,Female,28,3,3,3,Daily,robot_arm,Right,Interesting experiment,2 - Disagree,2 - Disagree,2 - Disagree,2 - Disagree,3 - Neutral,2 - Disagree,3 - Neutral,4 - Agree,3 - Neutral,4 - Agree,8,13,7,18,14,1
35,Male,23,4,4,4,Daily,robot_arm,Right,Good experiment to study the human movements,4 - Agree,2 - Disagree,4 - Agree,4 - Agree,4 - Agree,3 - Neutral,3 - Neutral,4 - Agree,4 - Agree,4 - Agree,2,9,10,14,8,4
36,Male,27,1,3,4,Weekly,robot_arm,Right,I liked the robotic arm that holds the position,3 - Neutral,2 - Disagree,4 - Agree,1 - Strongly disagree,2 - Disagree,2 - Disagree,5 - Strongly agree,3 - Neutral,3 - Neutral,1 - Strongly disagree,2,3,1,10,1,1
37,Male,31,3,4,3,Daily,robot_arm,Right,,3 - Neutral,2 - Disagree,3 - Neutral,5 - Strongly agree,4 - Agree,1 - Strongly disagree,3 - Neutral,4 - Agree,2 - Disagree,3 - Neutral,1,2,1,15,10,1
38,Male,28,3,2,3,Daily,robot_arm,Right,,3 - Neutral,2 - Disagree,4 - Agree,4 - Agree,4 - Agree,2 - Disagree,4 - Agree,3 - Neutral,3 - Neutral,1 - Strongly disagree,1,3,1,6,1,3
39,Female,28,3,3,3,Weekly,robot_arm,Right,,2 - Disagree,2 - Disagree,4 - Agree,3 - Neutral,4 - Agree,3 - Neutral,5 - Strongly agree,3 - Neutral,2 - Disagree,1 - Strongly disagree,5,13,3,10,5,2
40,Male,25,4,5,3,Daily,robot_arm,Right,Very easy and quick experiment to perform.,4 - Agree,2 - Disagree,4 - Agree,2 - Disagree,3 - Neutral,3 - Neutral,4 - Agree,3 - Neutral,5 - Strongly agree,1 - Strongly disagree,1,15,5,20,10,2
41,Female,40,4,3,3,Weekly,robot_arm,Right,"It was quite hard to direct and apply force to  the robot arm with the melon , as I had to apply much more force than if I would if I had the melon in my left hand.",4 - Agree,2 - Disagree,4 - Agree,2 - Disagree,5 - Strongly agree,1 - Strongly disagree,4 - Agree,2 - Disagree,4 - Agree,3 - Neutral,5,17,6,8,16,13
44,Female,28,2,4,5,Weekly,robot_arm,Right,A very interesting experiment! ,4 - Agree,1 - Strongly disagree,4 - Agree,1 - Strongly disagree,4 - Agree,1 - Strongly disagree,4 - Agree,1 - Strongly disagree,5 - Strongly agree,1 - Strongly disagree,5,10,7,3,6,1
45,Female,28,1,2,3,Daily,robot_arm,Right,"I have changed the way I hold the scoop over the trial, since I found a hand position in which I can apply higher force",3 - Neutral,1 - Strongly disagree,5 - Strongly agree,1 - Strongly disagree,4 - Agree,1 - Strongly disagree,5 - Strongly agree,3 - Neutral,4 - Agree,2 - Disagree,5,6,3,15,5,1
46,Male,27,3,3,4,Daily,robot_arm,Right,Dont know if it will be useful,2 - Disagree,2 - Disagree,3 - Neutral,1 - Strongly disagree,3 - Neutral,3 - Neutral,5 - Strongly agree,5 - Strongly agree,3 - Neutral,1 - Strongly disagree,1,3,5,3,2,3
47,Male,33,4,4,3,Daily,tool,Right,,3 - Neutral,2 - Disagree,4 - Agree,2 - Disagree,3 - Neutral,3 - Neutral,4 - Agree,3 - Neutral,3 - Neutral,1 - Strongly disagree,12,5,2,8,15,5
48,Male,30,3,4,3,Weekly,robot_arm,Right,"I found the task a bit unnatural for me as I had to adapt my movements to the constraints imposed by the kinematics of the robot. Moreover, the weight of the sensors wore on my right arm affected my motions.",3 - Neutral,2 - Disagree,3 - Neutral,4 - Agree,4 - Agree,4 - Agree,3 - Neutral,4 - Agree,4 - Agree,2 - Disagree,5,11,10,18,5,2
49,Male,28,2,4,4,Weekly,tool,Right,"it's a bit difficult to scoop because the holding hand is far from the cooping end, which creates a big torque on your wrist when you apply a force with the tool",3 - Neutral,3 - Neutral,4 - Agree,2 - Disagree,4 - Agree,2 - Disagree,4 - Agree,4 - Agree,4 - Agree,2 - Disagree,10,15,13,16,10,5
50,Male,28,3,4,4,Daily,robot_arm,Right,Having the added distance between where I was holding the robot arm and where the melon was made it harder. I couldn't use both my hands to scoop which lead to me exerting forces in angles which made my arm soar.,2 - Disagree,3 - Neutral,3 - Neutral,1 - Strongly disagree,3 - Neutral,2 - Disagree,4 - Agree,5 - Strongly agree,4 - Agree,2 - Disagree,5,10,1,5,10,6
51,Male,31,2,4,4,Daily,robot_arm,Right,The task has generally easy to do but it became even easier when gained more familiarity with the robot,4 - Agree,1 - Strongly disagree,4 - Agree,1 - Strongly disagree,4 - Agree,1 - Strongly disagree,4 - Agree,1 - Strongly disagree,4 - Agree,1 - Strongly disagree,5,10,3,2,4,8
52,Male,23,4,4,3,Weekly,tool,Right,Good,3 - Neutral,4 - Agree,2 - Disagree,2 - Disagree,3 - Neutral,2 - Disagree,4 - Agree,4 - Agree,4 - Agree,1 - Strongly disagree,5,10,1,15,2,1
