Subject_ID,Gender,Age,Easy_ teach,Familiar_w_tool,Self_Rating,Cooking Frequency,difficult_aspect,Handedness,overall_impression,use_system_frequently,system_too_complex,system_easy_to_use,need_technical_support,system_well_integrated,system_inconsistency,people_would_learn_to_use_this_system_quickly,system_cumbersome,confident_w_system,neeed_prior_learning,mental_demand,physical_demand,task_pace,successful_in_accomplishing_the_task,work_hard_for_your_level_of_performance,insecure_discouraged_irritated_stressed_annoyed
39,Female,28,3,3,3,Weekly,robot_arm,Right,,Disagree,Disagree,Agree,Neutral,Agree,Neutral,Strongly agree,Neutral,Disagree,Strongly disagree,5,13,3,10,5,2
40,Male,25,4,5,3,Daily,robot_arm,Right,Very easy and quick experiment to perform.,Agree,Disagree,Agree,Disagree,Neutral,Neutral,Agree,Neutral,Strongly agree,Strongly disagree,1,15,5,20,10,2
41,Female,40,4,3,3,Weekly,robot_arm,Right,"It was quite hard to direct and apply force to  the robot arm with the melon , as I had to apply much more force than if I would if I had the melon in my left hand.",Agree,Disagree,Agree,Disagree,Strongly agree,Strongly disagree,Agree,Disagree,Agree,Neutral,5,17,6,8,16,13
44,Female,28,2,4,5,Weekly,robot_arm,Right,A very interesting experiment! ,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Strongly disagree,5,10,7,3,6,1
45,Female,28,1,2,3,Daily,robot_arm,Right,"I have changed the way I hold the scoop over the trial, since I found a hand position in which I can apply higher force",Neutral,Strongly disagree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Neutral,Agree,Disagree,5,6,3,15,5,1
46,Male,27,3,3,4,Daily,robot_arm,Right,Dont know if it will be useful,Disagree,Disagree,Neutral,Strongly disagree,Neutral,Neutral,Strongly agree,Strongly agree,Neutral,Strongly disagree,1,3,5,3,2,3
47,Male,33,4,4,3,Daily,tool,Right,,Neutral,Disagree,Agree,Disagree,Neutral,Neutral,Agree,Neutral,Neutral,Strongly disagree,12,5,2,8,15,5
48,Male,30,3,4,3,Weekly,robot_arm,Right,"I found the task a bit unnatural for me as I had to adapt my movements to the constraints imposed by the kinematics of the robot. Moreover, the weight of the sensors wore on my right arm affected my motions.",Neutral,Disagree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Disagree,5,11,10,18,5,2
49,Male,28,2,4,4,Weekly,tool,Right,"it's a bit difficult to scoop because the holding hand is far from the cooping end, which creates a big torque on your wrist when you apply a force with the tool",Neutral,Neutral,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,10,15,13,16,10,5
50,Male,28,3,4,4,Daily,robot_arm,Right,Having the added distance between where I was holding the robot arm and where the melon was made it harder. I couldn't use both my hands to scoop which lead to me exerting forces in angles which made my arm soar.,Disagree,Neutral,Neutral,Strongly disagree,Neutral,Disagree,Agree,Strongly agree,Agree,Disagree,5,10,1,5,10,6
51,Male,31,2,4,4,Daily,robot_arm,Right,The task has generally easy to do but it became even easier when gained more familiarity with the robot,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Strongly disagree,5,10,3,2,4,8
52,Male,23,4,4,3,Weekly,tool,Right,Good,Neutral,Agree,Disagree,Disagree,Neutral,Disagree,Agree,Agree,Agree,Strongly disagree,5,10,1,15,2,1
